                                                -------                 ---------
                                                AudioCD                 DefaultCD
                                                -------                 ---------
    artistsort                                     X
    artist                                         X
    albumartistsort                                X
    albumartist                                    X
    disc                                           X
    track                                          X
    title                                          X
    genre                                          X
    style                                          X
    titlelanguage                                  X
    incollection                                   X
    live                                           X
    bootleg                                        X
    source                                         X
    profile                                        X
    _albumart_1_front album cover                  X
    origyear                                                                X
    year                                                                    X
    albumsortcount                                                          X
    album                                                                   X
    upc                                                                     X
    label                                                                   X
